name, address, telephone, email, website, category, sub_category, rating, reviews, opening_hours, search_keyword, search_location, claimed, permanently_closed, latitude, longitude, map_link, image_url, title, title_url, description
"Park Inn, Gurgaon","Civil Lines, Gurugram, Haryana 122001 ",0124 479 5555 ,,https://www.radissonhotels.com/en-us/hotels/park-inn-gurgaon/contact?cid=a:se+b:gmb+c:apac+i:local+e:pii+d:ind+h:INHRGUR1,·4-star hotel,"A,B,C","4.0
2,713 reviews",,,,"F25J+JM Gurugram, Haryana",Unvarified,,,"urgaon/data=!4m10!3m9!1s0x390d1837b438e73f:0x9aa67946e7ae2cc4???28.459012,,,77.031737","https://www.google.com/maps/place/Park+Inn,+Gurgaon/data=!4m10!3m9!1s0x390d1837b438e73f:0x9aa67946e7ae2cc4!5m2!4m1!1i2!8m2!3d28.459012!4d77.031737!16s%2Fg%2F1hdzgxscw!19sChIJP-c4tDcYDTkRxCyu50Z5ppo?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipPCIobPjvokUGodfolmTSBGsxKNBecVYLtAPRLH,"Park Inn, Gurgaon","Park Inn, Gurgaon","Park Inn, Gurgaonis a ·4-star hotel which is located on Address: Civil Lines, Gurugram, Haryana 122001  in  Gurugram, Haryana. The Park Inn, Gurgaon offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Park Inn, Gurgaon contact details or directly call on compnay helpline number Phone: 0124 479 5555  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Park Inn, Gurgaon/nA,B,C/nWhich is the address of Park Inn, Gurgaon/nAddress: Civil Lines, Gurugram, Haryana 122001 /nWhich are service areas is covered by Park Inn, Gurgaon/n Gurugram, Haryana"
DS Clarks Inn Gurgaon,"Plot No. 45, 46, Old Judicial Complex Civil Lines Rd, Civil Lines, Gurugram, Haryana 122001 ",0124 493 0000 ,,https://dsclarksinn.com/,·3-star hotel,"A,B,C","4.0
1,508 reviews",,,,"F25M+4G Gurugram, Haryana",Unvarified,,"28.457818,",77.033852,"https://www.google.com/maps/place/DS+Clarks+Inn+Gurgaon/data=!4m10!3m9!1s0x390d1848193c3ea5:0xb12c8ec92e20993d!5m2!4m1!1i2!8m2!3d28.457818!4d77.033852!16s%2Fg%2F1tmckm7l!19sChIJpT48GUgYDTkRPZkgLsmOLLE?authuser=0&hl=en&rclk=1
",,DS Clarks Inn Gurgaon,DS Clarks Inn Gurgaon,"DS Clarks Inn Gurgaonis a ·3-star hotel which is located on Address: Plot No. 45, 46, Old Judicial Complex Civil Lines Rd, Civil Lines, Gurugram, Haryana 122001  in  Gurugram, Haryana. The DS Clarks Inn Gurgaon offers A,B,C services. If you need ·3-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given DS Clarks Inn Gurgaon contact details or directly call on compnay helpline number Phone: 0124 493 0000  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by DS Clarks Inn Gurgaon/nA,B,C/nWhich is the address of DS Clarks Inn Gurgaon/nAddress: Plot No. 45, 46, Old Judicial Complex Civil Lines Rd, Civil Lines, Gurugram, Haryana 122001 /nWhich are service areas is covered by DS Clarks Inn Gurgaon/n Gurugram, Haryana"
Trident Hotel Gurgaon,"443, Shankar Chowk Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 ",0124 245 0505 ,,https://www.tridenthotels.com/hotels-in-gurgaon?utm_source=GMBlisting&utm_medium=organic,·5-star hotel,"A,B,C","4.6
5,338 reviews",,,,"G32Q+XQ Gurugram, Haryana",Unvarified,,"28.5024332,",77.0894789,"https://www.google.com/maps/place/Trident+Hotel+Gurgaon/data=!4m10!3m9!1s0x390d194215555555:0x9279ae0aa03a2936!5m2!4m1!1i2!8m2!3d28.5024332!4d77.0894789!16s%2Fg%2F1td4hhp4!19sChIJVVVVFUIZDTkRNik6oAqueZI?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipNmNVq0cH2HmIMIajw1KaJSp17ppRd72Vg3U_gA,Trident Hotel Gurgaon,Trident Hotel Gurgaon,"Trident Hotel Gurgaonis a ·5-star hotel which is located on Address: 443, Shankar Chowk Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016  in  Gurugram, Haryana. The Trident Hotel Gurgaon offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Trident Hotel Gurgaon contact details or directly call on compnay helpline number Phone: 0124 245 0505  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Trident Hotel Gurgaon/nA,B,C/nWhich is the address of Trident Hotel Gurgaon/nAddress: 443, Shankar Chowk Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 /nWhich are service areas is covered by Trident Hotel Gurgaon/n Gurugram, Haryana"
The Leela Ambience Gurugram Hotel & Residences,"National Highway 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002 ",0124 477 1234 ,,https://www.theleela.com/the-leela-ambience-gurugram-hotel-residences/,·5-star hotel,"A,B,C","4.6
20,369 reviews",,,,"G34W+4H Gurugram, Haryana",Unvarified,,"28.5053638,",77.0964984,"https://www.google.com/maps/place/The+Leela+Ambience+Gurugram+Hotel+%26+Residences/data=!4m10!3m9!1s0x39679c8110a3d073:0x75e45c130d24bf1b!5m2!4m1!1i2!8m2!3d28.5053638!4d77.0964984!16s%2Fg%2F1v_vr92b!19sChIJc9CjEIGcZzkRG78kDRNc5HU?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipNlHJlN40I7f5riUrvROfmjGgo0k2yDWQqbv7bg,The Leela Ambience Gurugram Hotel & Residences,The Leela Ambience Gurugram Hotel & Residences,"The Leela Ambience Gurugram Hotel & Residencesis a ·5-star hotel which is located on Address: National Highway 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002  in  Gurugram, Haryana. The The Leela Ambience Gurugram Hotel & Residences offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given The Leela Ambience Gurugram Hotel & Residences contact details or directly call on compnay helpline number Phone: 0124 477 1234  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by The Leela Ambience Gurugram Hotel & Residences/nA,B,C/nWhich is the address of The Leela Ambience Gurugram Hotel & Residences/nAddress: National Highway 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002 /nWhich are service areas is covered by The Leela Ambience Gurugram Hotel & Residences/n Gurugram, Haryana"
Quality Inn Gurgaon,"17, 6, Old Delhi Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122001 ",088600 87950 ,,http://www.qualityinngurgaon.com/,·4-star hotel,"A,B,C","3.9
1,648 reviews",,,,"F2CQ+5W Gurugram, Haryana",Unvarified,,"28.4703831,",77.0398463,"https://www.google.com/maps/place/Quality+Inn+Gurgaon/data=!4m10!3m9!1s0x390d18fc7ff70cbf:0xf928e52ca69690a6!5m2!4m1!1i2!8m2!3d28.4703831!4d77.0398463!16s%2Fg%2F1ptvzhc55!19sChIJvwz3f_wYDTkRppCWpizlKPk?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipN_iUDBqBKQCvc9RyAxPlP9Zy04V0rr_1VYXIDb,Quality Inn Gurgaon,Quality Inn Gurgaon,"Quality Inn Gurgaonis a ·4-star hotel which is located on Address: 17, 6, Old Delhi Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122001  in  Gurugram, Haryana. The Quality Inn Gurgaon offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Quality Inn Gurgaon contact details or directly call on compnay helpline number Phone: 088600 87950  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Quality Inn Gurgaon/nA,B,C/nWhich is the address of Quality Inn Gurgaon/nAddress: 17, 6, Old Delhi Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122001 /nWhich are service areas is covered by Quality Inn Gurgaon/n Gurugram, Haryana"
"The Oberoi, Gurgaon","443, Shankar Chowk Rd, opposite Metro Station, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 ",0124 483 1234 ,,http://www.oberoihotels.com/hotels-in-gurgaon/?utm_source=GMBlisting&utm_medium=organic,·5-star hotel,"A,B,C","4.7
11,175 reviews",,,,"G32Q+V7 Gurugram, Haryana",Unvarified,,,"urgaon/data=!4m10!3m9!1s0x390d194215555555:0xff1f79a278437064???28.5022034,,,77.0881901!16s%2Fm%2F0h_9sml!19sChIJVVVVFUIZDTkRZHBDeKJ5H_8?authuser=0&hl=en&rclk=1","https://www.google.com/maps/place/The+Oberoi,+Gurgaon/data=!4m10!3m9!1s0x390d194215555555:0xff1f79a278437064!5m2!4m1!1i2!8m2!3d28.5022034!4d77.0881901!16s%2Fm%2F0h_9sml!19sChIJVVVVFUIZDTkRZHBDeKJ5H_8?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipOxTP3NQ7kPf3cEqp8R9m2zCOKfrCSCY8SiB8qX,"The Oberoi, Gurgaon","The Oberoi, Gurgaon","The Oberoi, Gurgaonis a ·5-star hotel which is located on Address: 443, Shankar Chowk Rd, opposite Metro Station, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016  in  Gurugram, Haryana. The The Oberoi, Gurgaon offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given The Oberoi, Gurgaon contact details or directly call on compnay helpline number Phone: 0124 483 1234  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by The Oberoi, Gurgaon/nA,B,C/nWhich is the address of The Oberoi, Gurgaon/nAddress: 443, Shankar Chowk Rd, opposite Metro Station, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 /nWhich are service areas is covered by The Oberoi, Gurgaon/n Gurugram, Haryana"
Taj City Centre Gurugram,"Plot No.1, Sector 44, Gurugram, Haryana 122004 ",0124 667 3000 ,,https://www.tajhotels.com/en-in/taj/taj-city-centre-gurugram/?utm_source=Google&utm_medium=Local&utm_campaign=Taj-City-Centre-Gurugram,·5-star hotel,"A,B,C","4.5
9,945 reviews",,,,"F34C+C6 Gurugram, Haryana",Unvarified,,"28.456084,",77.0706181,"https://www.google.com/maps/place/Taj+City+Centre+Gurugram/data=!4m10!3m9!1s0x390d1e70a6c00001:0xef9030b6cd2655e2!5m2!4m1!1i2!8m2!3d28.456084!4d77.0706181!16s%2Fg%2F1hf2m6g_m!19sChIJAQDApnAeDTkR4lUmzbYwkO8?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipN48Eym-wUjNaZCrI9dbpoC3Vm1XYQ4gISegMc,Taj City Centre Gurugram,Taj City Centre Gurugram,"Taj City Centre Gurugramis a ·5-star hotel which is located on Address: Plot No.1, Sector 44, Gurugram, Haryana 122004  in  Gurugram, Haryana. The Taj City Centre Gurugram offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Taj City Centre Gurugram contact details or directly call on compnay helpline number Phone: 0124 667 3000  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Taj City Centre Gurugram/nA,B,C/nWhich is the address of Taj City Centre Gurugram/nAddress: Plot No.1, Sector 44, Gurugram, Haryana 122004 /nWhich are service areas is covered by Taj City Centre Gurugram/n Gurugram, Haryana"
Hyatt Regency Gurgaon,"Hyatt Regency, Business Hotel in Gurgaon, sector 83, NH8, opp. southern peripheral road, Sector 83, Gurugram, Haryana 122004 ",0124 502 1234 ,,https://www.hyatt.com/en-US/hotel/india/hyatt-regency-gurgaon/delrg?src=corp_lclb_gmb_seo_delrg,·5-star hotel,"A,B,C","4.4
10,110 reviews",,,,"9XRG+VM Gurugram, Haryana",Unvarified,,"28.3921355,",76.9767417,"https://www.google.com/maps/place/Hyatt+Regency+Gurgaon/data=!4m10!3m9!1s0x390d3d1282f27205:0xc9b20ceb3a9ab346!5m2!4m1!1i2!8m2!3d28.3921355!4d76.9767417!16s%2Fg%2F11c5s7g0gc!19sChIJBXLyghI9DTkRRrOaOusMssk?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipPzjFsmj-T7UeN7fBzbA_J2Uhp8kG728MXHSlVu,Hyatt Regency Gurgaon,Hyatt Regency Gurgaon,"Hyatt Regency Gurgaonis a ·5-star hotel which is located on Address: Hyatt Regency, Business Hotel in Gurgaon, sector 83, NH8, opp. southern peripheral road, Sector 83, Gurugram, Haryana 122004  in  Gurugram, Haryana. The Hyatt Regency Gurgaon offers A,B,C services. If you need ·5-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Hyatt Regency Gurgaon contact details or directly call on compnay helpline number Phone: 0124 502 1234  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Hyatt Regency Gurgaon/nA,B,C/nWhich is the address of Hyatt Regency Gurgaon/nAddress: Hyatt Regency, Business Hotel in Gurgaon, sector 83, NH8, opp. southern peripheral road, Sector 83, Gurugram, Haryana 122004 /nWhich are service areas is covered by Hyatt Regency Gurgaon/n Gurugram, Haryana"
Radisson Hotel Gurugram Sohna Road City Center,"Main, Badshahpur Sohna Rd Hwy, Block S, Sector 49, Gurugram, Haryana 122018 ",0124 457 7777 ,,https://www.radissonhotels.com/en-us/hotels/radisson-gurugram-city-center?cid=a:se+b:gmb+c:apac+i:local+e:rad+d:ind+h:INHRGRGSOH,·4-star hotel,"A,B,C","4.3
4,789 reviews",,,,"C28R+9P Gurugram, Haryana",Unvarified,,"28.4159538,",77.0417895,"https://www.google.com/maps/place/Radisson+Hotel+Gurugram+Sohna+Road+City+Center/data=!4m10!3m9!1s0x390d229c0a6062f5:0xcecdfc0056fefff6!5m2!4m1!1i2!8m2!3d28.4159538!4d77.0417895!16s%2Fg%2F1tffmqn2!19sChIJ9WJgCpwiDTkR9v_-VgD8zc4?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipO2DuOEEsdCaLdCSCwtlsYvCpODOcz7pxwQINBx,Radisson Hotel Gurugram Sohna Road City Center,Radisson Hotel Gurugram Sohna Road City Center,"Radisson Hotel Gurugram Sohna Road City Centeris a ·4-star hotel which is located on Address: Main, Badshahpur Sohna Rd Hwy, Block S, Sector 49, Gurugram, Haryana 122018  in  Gurugram, Haryana. The Radisson Hotel Gurugram Sohna Road City Center offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Radisson Hotel Gurugram Sohna Road City Center contact details or directly call on compnay helpline number Phone: 0124 457 7777  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Radisson Hotel Gurugram Sohna Road City Center/nA,B,C/nWhich is the address of Radisson Hotel Gurugram Sohna Road City Center/nAddress: Main, Badshahpur Sohna Rd Hwy, Block S, Sector 49, Gurugram, Haryana 122018 /nWhich are service areas is covered by Radisson Hotel Gurugram Sohna Road City Center/n Gurugram, Haryana"
Golden Tulip Suites Gurgaon,"Faridabad - Gurgaon Rd, Sector 2, Gwal Pahari, Gurugram, Haryana 122003 ",0124 668 0700 ,,http://www.goldentulipsuitesgurgaon.com/,·4-star hotel,"A,B,C","4.0
2,047 reviews",,,,"C4GV+H2 Gurugram, Haryana",Unvarified,,"28.4264246,",77.1425164,"https://www.google.com/maps/place/Golden+Tulip+Suites+Gurgaon/data=!4m10!3m9!1s0x390d21d150e537b7:0xef7cf474a7138b0a!5m2!4m1!1i2!8m2!3d28.4264246!4d77.1425164!16s%2Fg%2F11g6j8zhvp!19sChIJtzflUNEhDTkRCosTp3T0fO8?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipMjObHeEmxpKt3pzNNSDFdkoyIp8xYGi2msKmi-,Golden Tulip Suites Gurgaon,Golden Tulip Suites Gurgaon,"Golden Tulip Suites Gurgaonis a ·4-star hotel which is located on Address: Faridabad - Gurgaon Rd, Sector 2, Gwal Pahari, Gurugram, Haryana 122003  in  Gurugram, Haryana. The Golden Tulip Suites Gurgaon offers A,B,C services. If you need ·4-star hotel related services in  Gurugram, Haryana and nearby areas then you can use the below given Golden Tulip Suites Gurgaon contact details or directly call on compnay helpline number Phone: 0124 668 0700  for any question & quveries./nFor more detail, users can visit the officail website (website) of (Company Name)./nFrequently Asked Question/nWhat are the services Offered by Golden Tulip Suites Gurgaon/nA,B,C/nWhich is the address of Golden Tulip Suites Gurgaon/nAddress: Faridabad - Gurgaon Rd, Sector 2, Gwal Pahari, Gurugram, Haryana 122003 /nWhich are service areas is covered by Golden Tulip Suites Gurgaon/n Gurugram, Haryana"
