name,address,telephone,website,category,sub_category,rating,reviews,search_keyword,search_location,claimed,permanently_closed,latitude,longitude,map_link,image_url,title,title_url,description,opening_hours
"Park Inn, Gurgaon","Civil Lines, Gurugram, Haryana 122001 ",0124 479 5555 ,https://www.radissonhotels.com/en-us/hotels/park-inn-gurgaon/contact?cid=a:se+b:gmb+c:apac+i:local+e:pii+d:ind+h:INHRGUR1,,,4.0,"2,728",,"Gurugram, Haryana",Unvarified,,,"urgaon/data=!4m10!3m9!1s0x390d1837b438e73f:0x9aa67946e7ae2cc4???28.459012,,,77.031737|","https://www.google.com/maps/place/Park+Inn,+Gurgaon/data=!4m10!3m9!1s0x390d1837b438e73f:0x9aa67946e7ae2cc4!5m2!4m1!1i2!8m2!3d28.459012!4d77.031737!16s%2Fg%2F1hdzgxscw!19sChIJP-c4tDcYDTkRxCyu50Z5ppo?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipPCIobPjvokUGodfolmTSBGsxKNBecVYLtAPRLH,"Park Inn, Gurgaon",park-inn-gurgaon,"Park Inn, Gurgaonis a  which is located on Address: Civil Lines, Gurugram, Haryana 122001  in m, Haryana. The Park Inn, Gurgaon offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given Park Inn, Gurgaon contact details or directly call on compnay helpline number Phone: 0124 479 5555  for any question & quveries./nFor more detail, users can visit the officail website  of Park Inn, Gurgaon./nFrequently Asked Question/nWhat are the services Offered by Park Inn, Gurgaon/n/nWhich is the address of Park Inn, Gurgaon/nAddress: Civil Lines, Gurugram, Haryana 122001 /nWhich are service areas is covered by Park Inn, Gurgaon/nm, Haryana",Check-in time: 12:00 pm || Check-out time: 12:00 pm
OYO Townhouse 024 Sector 47 Gurgaon,"Baani Square, 201, Sector 47, Delhi Public School, Primary Wing, Sector 47, Gurugram, Haryana 122001 ",0124 620 1166 ,https://www.oyorooms.com/h/104962?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=GRG2049&latitude=28.43072&longitude=77.05365&locale=en,,,3.9,"1,823",,"Gurugram, Haryana",Unvarified,,28.430731,77.053629|,"https://www.google.com/maps/place/OYO+Townhouse+024+Sector+47+Gurgaon/data=!4m10!3m9!1s0x390d187dcd271693:0x53979c21ff771b7d!5m2!4m1!1i2!8m2!3d28.430731!4d77.053629!16s%2Fg%2F11gd00s46y!19sChIJkxYnzX0YDTkRfRt3_yGcl1M?authuser=0&hl=en&rclk=1
",,OYO Townhouse 024 Sector 47 Gurgaon,oyo-townhouse-024-sector-47-gurgaon,"OYO Townhouse 024 Sector 47 Gurgaonis a  which is located on Address: Baani Square, 201, Sector 47, Delhi Public School, Primary Wing, Sector 47, Gurugram, Haryana 122001  in m, Haryana. The OYO Townhouse 024 Sector 47 Gurgaon offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given OYO Townhouse 024 Sector 47 Gurgaon contact details or directly call on compnay helpline number Phone: 0124 620 1166  for any question & quveries./nFor more detail, users can visit the officail website  of OYO Townhouse 024 Sector 47 Gurgaon./nFrequently Asked Question/nWhat are the services Offered by OYO Townhouse 024 Sector 47 Gurgaon/n/nWhich is the address of OYO Townhouse 024 Sector 47 Gurgaon/nAddress: Baani Square, 201, Sector 47, Delhi Public School, Primary Wing, Sector 47, Gurugram, Haryana 122001 /nWhich are service areas is covered by OYO Townhouse 024 Sector 47 Gurgaon/nm, Haryana",Check-in time: 12:00 pm || Check-out time: 11:00 am
Trident Hotel Gurgaon,"443, Shankar Chowk Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 ",0124 245 0505 ,https://www.tridenthotels.com/hotels-in-gurgaon?utm_source=GMBlisting&utm_medium=organic,,,4.6,"5,355",,"Gurugram, Haryana",Unvarified,,28.5021174,77.0892973|,"https://www.google.com/maps/place/Trident+Hotel+Gurgaon/data=!4m10!3m9!1s0x390d194215555555:0x9279ae0aa03a2936!5m2!4m1!1i2!8m2!3d28.5021174!4d77.0892973!16s%2Fg%2F1td4hhp4!19sChIJVVVVFUIZDTkRNik6oAqueZI?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipNmNVq0cH2HmIMIajw1KaJSp17ppRd72Vg3U_gA,Trident Hotel Gurgaon,trident-hotel-gurgaon,"Trident Hotel Gurgaonis a  which is located on Address: 443, Shankar Chowk Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016  in m, Haryana. The Trident Hotel Gurgaon offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given Trident Hotel Gurgaon contact details or directly call on compnay helpline number Phone: 0124 245 0505  for any question & quveries./nFor more detail, users can visit the officail website  of Trident Hotel Gurgaon./nFrequently Asked Question/nWhat are the services Offered by Trident Hotel Gurgaon/n/nWhich is the address of Trident Hotel Gurgaon/nAddress: 443, Shankar Chowk Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 /nWhich are service areas is covered by Trident Hotel Gurgaon/nm, Haryana",Check-in time: 2:00 pm || Check-out time: 12:00 pm
The Leela Ambience Gurugram Hotel %26 Residences,"National Highway 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002 ",0124 477 1234 ,https://www.theleela.com/the-leela-ambience-gurugram-hotel-residences/,,,4.6,"20,812",,"Gurugram, Haryana",Unvarified,,28.5053638,77.0964984|,"https://www.google.com/maps/place/The+Leela+Ambience+Gurugram+Hotel+%26+Residences/data=!4m10!3m9!1s0x39679c8110a3d073:0x75e45c130d24bf1b!5m2!4m1!1i2!8m2!3d28.5053638!4d77.0964984!16s%2Fg%2F1v_vr92b!19sChIJc9CjEIGcZzkRG78kDRNc5HU?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipM1eKBSgbdPyU8AoAsmvmxbfjfRZwUjro5IZweu,The Leela Ambience Gurugram Hotel %26 Residences,the-leela-ambience-gurugram-hotel-26-residences,"The Leela Ambience Gurugram Hotel %26 Residencesis a  which is located on Address: National Highway 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002  in m, Haryana. The The Leela Ambience Gurugram Hotel %26 Residences offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given The Leela Ambience Gurugram Hotel %26 Residences contact details or directly call on compnay helpline number Phone: 0124 477 1234  for any question & quveries./nFor more detail, users can visit the officail website  of The Leela Ambience Gurugram Hotel %26 Residences./nFrequently Asked Question/nWhat are the services Offered by The Leela Ambience Gurugram Hotel %26 Residences/n/nWhich is the address of The Leela Ambience Gurugram Hotel %26 Residences/nAddress: National Highway 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002 /nWhich are service areas is covered by The Leela Ambience Gurugram Hotel %26 Residences/nm, Haryana"
"The Oberoi, Gurgaon","443, Shankar Chowk Rd, opposite Metro Station, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 ",0124 483 1234 ,http://www.oberoihotels.com/hotels-in-gurgaon/?utm_source=GMBlisting&utm_medium=organic,,,4.7,"11,303",,"Gurugram, Haryana",Unvarified,,,,"https://www.google.com/maps/place/The+Oberoi,+Gurgaon/data=!4m10!3m9!1s0x390d194215555555:0xff1f79a278437064!5m2!4m1!1i2!8m2!3d28.5022034!4d77.0881901!16s%2Fm%2F0h_9sml!19sChIJVVVVFUIZDTkRZHBDeKJ5H_8?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipOxTP3NQ7kPf3cEqp8R9m2zCOKfrCSCY8SiB8qX,"The Oberoi, Gurgaon",the-oberoi-gurgaon,"The Oberoi, Gurgaonis a  which is located on Address: 443, Shankar Chowk Rd, opposite Metro Station, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016  in m, Haryana. The The Oberoi, Gurgaon offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given The Oberoi, Gurgaon contact details or directly call on compnay helpline number Phone: 0124 483 1234  for any question & quveries./nFor more detail, users can visit the officail website  of The Oberoi, Gurgaon./nFrequently Asked Question/nWhat are the services Offered by The Oberoi, Gurgaon/n/nWhich is the address of The Oberoi, Gurgaon/nAddress: 443, Shankar Chowk Rd, opposite Metro Station, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016 /nWhich are service areas is covered by The Oberoi, Gurgaon/nm, Haryana",Check-in time: 2:00 pm || Check-out time: 12:00 pm
Quality Inn Gurgaon,"17, 6, Old Delhi Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122001 ",088600 87950 ,http://www.qualityinngurgaon.com/,,,3.9,"1,663",,"Gurugram, Haryana",Unvarified,,28.4703831,77.0398463|,"https://www.google.com/maps/place/Quality+Inn+Gurgaon/data=!4m10!3m9!1s0x390d18fc7ff70cbf:0xf928e52ca69690a6!5m2!4m1!1i2!8m2!3d28.4703831!4d77.0398463!16s%2Fg%2F1ptvzhc55!19sChIJvwz3f_wYDTkRppCWpizlKPk?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipN_iUDBqBKQCvc9RyAxPlP9Zy04V0rr_1VYXIDb,Quality Inn Gurgaon,quality-inn-gurgaon,"Quality Inn Gurgaonis a  which is located on Address: 17, 6, Old Delhi Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122001  in m, Haryana. The Quality Inn Gurgaon offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given Quality Inn Gurgaon contact details or directly call on compnay helpline number Phone: 088600 87950  for any question & quveries./nFor more detail, users can visit the officail website  of Quality Inn Gurgaon./nFrequently Asked Question/nWhat are the services Offered by Quality Inn Gurgaon/n/nWhich is the address of Quality Inn Gurgaon/nAddress: 17, 6, Old Delhi Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122001 /nWhich are service areas is covered by Quality Inn Gurgaon/nm, Haryana",Check-in time: 2:00 am || Check-out time: 12:00 pm
Taj City Centre Gurugram,"Plot No.1, Sector 44, Gurugram, Haryana 122004 ",0124 667 3000 ,https://www.tajhotels.com/en-in/taj/taj-city-centre-gurugram/?utm_source=Google&utm_medium=Local&utm_campaign=Taj-City-Centre-Gurugram,,,4.5,"10,012",,"Gurugram, Haryana",Unvarified,,28.456084,77.0706181|,"https://www.google.com/maps/place/Taj+City+Centre+Gurugram/data=!4m10!3m9!1s0x390d1e70a6c00001:0xef9030b6cd2655e2!5m2!4m1!1i2!8m2!3d28.456084!4d77.0706181!16s%2Fg%2F1hf2m6g_m!19sChIJAQDApnAeDTkR4lUmzbYwkO8?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipN48Eym-wUjNaZCrI9dbpoC3Vm1XYQ4gISegMc,Taj City Centre Gurugram,taj-city-centre-gurugram,"Taj City Centre Gurugramis a  which is located on Address: Plot No.1, Sector 44, Gurugram, Haryana 122004  in m, Haryana. The Taj City Centre Gurugram offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given Taj City Centre Gurugram contact details or directly call on compnay helpline number Phone: 0124 667 3000  for any question & quveries./nFor more detail, users can visit the officail website  of Taj City Centre Gurugram./nFrequently Asked Question/nWhat are the services Offered by Taj City Centre Gurugram/n/nWhich is the address of Taj City Centre Gurugram/nAddress: Plot No.1, Sector 44, Gurugram, Haryana 122004 /nWhich are service areas is covered by Taj City Centre Gurugram/nm, Haryana",Check-in time: 2:00 am || Check-out time: 12:00 pm
Radisson Hotel Gurugram Sohna Road City Center,"Main, Badshahpur Sohna Rd Hwy, Block S, Sector 49, Gurugram, Haryana 122018 ",0124 457 7777 ,https://www.radissonhotels.com/en-us/hotels/radisson-gurugram-city-center?cid=a:se+b:gmb+c:apac+i:local+e:rad+d:ind+h:INHRGRGSOH,,,4.3,"4,835",,"Gurugram, Haryana",Unvarified,,28.4159538,77.0417895|,"https://www.google.com/maps/place/Radisson+Hotel+Gurugram+Sohna+Road+City+Center/data=!4m10!3m9!1s0x390d229c0a6062f5:0xcecdfc0056fefff6!5m2!4m1!1i2!8m2!3d28.4159538!4d77.0417895!16s%2Fg%2F1tffmqn2!19sChIJ9WJgCpwiDTkR9v_-VgD8zc4?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipO2DuOEEsdCaLdCSCwtlsYvCpODOcz7pxwQINBx,Radisson Hotel Gurugram Sohna Road City Center,radisson-hotel-gurugram-sohna-road-city-center,"Radisson Hotel Gurugram Sohna Road City Centeris a  which is located on Address: Main, Badshahpur Sohna Rd Hwy, Block S, Sector 49, Gurugram, Haryana 122018  in m, Haryana. The Radisson Hotel Gurugram Sohna Road City Center offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given Radisson Hotel Gurugram Sohna Road City Center contact details or directly call on compnay helpline number Phone: 0124 457 7777  for any question & quveries./nFor more detail, users can visit the officail website  of Radisson Hotel Gurugram Sohna Road City Center./nFrequently Asked Question/nWhat are the services Offered by Radisson Hotel Gurugram Sohna Road City Center/n/nWhich is the address of Radisson Hotel Gurugram Sohna Road City Center/nAddress: Main, Badshahpur Sohna Rd Hwy, Block S, Sector 49, Gurugram, Haryana 122018 /nWhich are service areas is covered by Radisson Hotel Gurugram Sohna Road City Center/nm, Haryana",Check-in time: 2:00 pm || Check-out time: 12:00 pm
Golden Tulip Suites Gurgaon,"Faridabad - Gurgaon Rd, Sector 2, Gwal Pahari, Gurugram, Haryana 122003 ",0124 668 0700 ,http://www.goldentulipsuitesgurgaon.com/,,,4.0,"2,082",,"Gurugram, Haryana",Unvarified,,28.4264246,77.1425164|,"https://www.google.com/maps/place/Golden+Tulip+Suites+Gurgaon/data=!4m10!3m9!1s0x390d21d150e537b7:0xef7cf474a7138b0a!5m2!4m1!1i2!8m2!3d28.4264246!4d77.1425164!16s%2Fg%2F11g6j8zhvp!19sChIJtzflUNEhDTkRCosTp3T0fO8?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipMjObHeEmxpKt3pzNNSDFdkoyIp8xYGi2msKmi-,Golden Tulip Suites Gurgaon,golden-tulip-suites-gurgaon,"Golden Tulip Suites Gurgaonis a  which is located on Address: Faridabad - Gurgaon Rd, Sector 2, Gwal Pahari, Gurugram, Haryana 122003  in m, Haryana. The Golden Tulip Suites Gurgaon offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given Golden Tulip Suites Gurgaon contact details or directly call on compnay helpline number Phone: 0124 668 0700  for any question & quveries./nFor more detail, users can visit the officail website  of Golden Tulip Suites Gurgaon./nFrequently Asked Question/nWhat are the services Offered by Golden Tulip Suites Gurgaon/n/nWhich is the address of Golden Tulip Suites Gurgaon/nAddress: Faridabad - Gurgaon Rd, Sector 2, Gwal Pahari, Gurugram, Haryana 122003 /nWhich are service areas is covered by Golden Tulip Suites Gurgaon/nm, Haryana",Check-in time: 2:00 pm || Check-out time: 12:00 pm
Hyatt Regency Gurgaon,"Hyatt Regency, Business Hotel in Gurgaon, sector 83, NH8, opp. southern peripheral road, Sector 83, Gurugram, Haryana 122004 ",0124 502 1234 ,https://www.hyatt.com/en-US/hotel/india/hyatt-regency-gurgaon/delrg?src=corp_lclb_gmb_seo_delrg,,,4.4,"10,238",,"Gurugram, Haryana",Unvarified,,28.3921355,76.9767417|,"https://www.google.com/maps/place/Hyatt+Regency+Gurgaon/data=!4m10!3m9!1s0x390d3d1282f27205:0xc9b20ceb3a9ab346!5m2!4m1!1i2!8m2!3d28.3921355!4d76.9767417!16s%2Fg%2F11c5s7g0gc!19sChIJBXLyghI9DTkRRrOaOusMssk?authuser=0&hl=en&rclk=1
",https://lh5.googleusercontent.com/p/AF1QipPzjFsmj-T7UeN7fBzbA_J2Uhp8kG728MXHSlVu,Hyatt Regency Gurgaon,hyatt-regency-gurgaon,"Hyatt Regency Gurgaonis a  which is located on Address: Hyatt Regency, Business Hotel in Gurgaon, sector 83, NH8, opp. southern peripheral road, Sector 83, Gurugram, Haryana 122004  in m, Haryana. The Hyatt Regency Gurgaon offers  services. If you need  related services in m, Haryana and nearby areas then you can use the below given Hyatt Regency Gurgaon contact details or directly call on compnay helpline number Phone: 0124 502 1234  for any question & quveries./nFor more detail, users can visit the officail website  of Hyatt Regency Gurgaon./nFrequently Asked Question/nWhat are the services Offered by Hyatt Regency Gurgaon/n/nWhich is the address of Hyatt Regency Gurgaon/nAddress: Hyatt Regency, Business Hotel in Gurgaon, sector 83, NH8, opp. southern peripheral road, Sector 83, Gurugram, Haryana 122004 /nWhich are service areas is covered by Hyatt Regency Gurgaon/nm, Haryana",Check-in time: 12:00 pm || Check-out time: 12:00 pm
